"site","burial","age","section","half_A_B","half_C_D","element_1","total_element"
"VFT","29","Non-adult ","central",NA,NA,"SB",3
"VFT","29","Non-adult ","central",NA,NA,"SB",3
"VFT","29","Non-adult ","central",NA,NA,"SB",3
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"T",6
"VFT","29","Non-adult ","central",NA,NA,"CB",1
"VFT","29","Non-adult ","central",NA,NA,"CB",1
"VFT","29","Non-adult ","central",NA,NA,"CB",4
"VFT","29","Non-adult ","central",NA,NA,"CB",4
"VFT","29","Non-adult ","central",NA,NA,"CB",4
"VFT","29","Non-adult ","central",NA,NA,"CB",4
"VFT","29","Non-adult ","central",NA,NA,"CB",1
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","CB",12
"VFT","29","Non-adult ","lower","half_A","half_C","T",4
"VFT","29","Non-adult ","lower","half_A","half_C","T",4
"VFT","29","Non-adult ","lower","half_A","half_C","T",4
"VFT","29","Non-adult ","lower","half_A","half_C","T",4
"VFT","29","Non-adult ","lower","half_A","half_C","SB",2
"VFT","29","Non-adult ","lower","half_A","half_C","SB",2
"VFT","29","Non-adult ","lower","half_A","half_C","LB",4
"VFT","29","Non-adult ","lower","half_A","half_C","LB",4
"VFT","29","Non-adult ","lower","half_A","half_C","LB",4
"VFT","29","Non-adult ","lower","half_A","half_C","LB",4
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","CB",47
"VFT","29","Non-adult ","lower","half_B","half_C","T",11
"VFT","29","Non-adult ","lower","half_B","half_C","T",11
