site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,15,ND,Adult (20-40 yrs),5,lower,17,half_A,half_C,F,LL,Oc, Il,Gsn,R,,,4,1,,,1,,,,1,,,,,,,4,,,,5.64,4,2248,562,829,825
VFT,15,ND,Adult (20-40 yrs),5,lower,19,half_B,half_D,Ir,T,V,C2,I,I,,,1,1,,,,,1,,1,,,,,,,,1,,,3.07,1,2248,562,1000,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,20,half_A,half_D,Ir,LL,Tar,Cal,I,I,,,5,2,,1,1,,,,3,,,,,,1,3,1,,,7.29,5,2248,562,829,1004
VFT,15,ND,Adult (20-40 yrs),1,upper,4,half_A,half_D,Lo,UL,Cl,Cl,Di,R,,,1,,,,1,,,,1,,,,,,,,1,,,2.99,1,2248,824,829,1004
VFT,15,ND,Adult (20-40 yrs),1,upper,4,half_A,half_D,Lo,UL,Cl,Cl,P,I,,1,,,,,,,,,,,,,,,,1,,,,1.63,1,2248,824,829,1004
VFT,15,ND,Adult (20-40 yrs),2,upper,6,half_B,half_C,Lo,UL,Ep,Cl,P,I,,,1,,,,,,,,1,,,,,,,1,,,,3.6,1,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),4,central,15,half_B,half_D,Lo,UL,D,Cl,I,R,,,2,,,1,1,,,,2,,,,,,,1,1,,,4.95,2,2248,862,1000,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,20,half_A,half_D,Lo,UL,D,Cl,Di,R,,,1,,,1,,,,,1,,,,,,,,1,,,3.14,1,2248,562,829,1004
VFT,15,ND,Adult (20-40 yrs),3,central,10,half_B,half_C,Ir,LL,Tar,Cun,I,I,,,1,,1,,,,,,,,,,,,1,,,,,0.8,1,2248,862,1000,825
VFT,15,ND,Adult (20-40 yrs),2,upper,6,half_B,half_C,S,LL,Ep,Fe,P,I,,,1,1,,,,1,,,,,,,,,,,1,,,7.24,1,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),2,upper,7,half_B,half_D,C,LL,D,Fe,I,I,,,5,1,2,3,1,,1,,5,,,,,,,,,1,4,29.9,5,2248,824,1000,1004
VFT,15,ND,Adult (20-40 yrs),4,central,15,half_B,half_D,Lo,LL,D,Fe,I,I,,,4,,1,3,1,,,,4,,,,,,,1,2,1,,12.55,4,2248,862,1000,1004
VFT,15,ND,Adult (20-40 yrs),4,central,15,half_B,half_D,Lo,LL,Ep,Fe,Di,I,,,1,1,,,,,,,,,,,,,,1,,,,1.1,1,2248,862,1000,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,18,half_B,half_C,Lo,LL,Ep,Fe,Di,I,,7,,,1,2,1,,,,7,,,,,,2,1,1,1,2,30.33,7,2248,562,1000,825
VFT,15,ND,Adult (20-40 yrs),5,lower,20,half_A,half_D,Lo,LL,D,Fe,I,I,,,3,1,1,2,,,,,2,,,,,,,,1,,1,12.98,2,2248,562,829,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,20,half_A,half_D,Lo,LL,Ep,Fe,Di,I,,,5,5,,,,,,,2,,,,,,,2,3,,,4.74,5,2248,562,829,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,17,half_A,half_C,Lo,LL,Ep,Fe,P,I,,,38,6,1,,1,,2,,6,,,,,7,19,3,8,1,,30.85,38,2248,562,829,825
VFT,15,ND,Adult (20-40 yrs),3,central,9,half_A,half_C,C,LL,D,Fi,I,I,,,4,1,1,1,1,,2,,4,,,,,,,,2,2,,14.57,4,2248,862,829,825
VFT,15,ND,Adult (20-40 yrs),3,central,11,half_B,half_D,Lo,LL,Ep,Fi,Mal,R,,1,,1,,,,,,,1,,,,,,,1,,,,0.55,1,2248,862,1000,1004
VFT,15,ND,Adult (20-40 yrs),3,central,11,half_B,half_D,Lo,LL,D,Fi,I,I,,1,,,,1,,,,,1,,,,,,,1,,,,1.45,1,2248,862,1000,1004
VFT,15,ND,Adult (20-40 yrs),4,central,13,half_A,half_C,Lo,LL,D,Fi,I,I,,,1,1,,,,,,,1,,,,,,,1,,,,2.48,1,2248,862,829,825
